1 2 0.5
1 3 0.5
2 4 0.5
3 4 0.5
3 5 0.5
4 6 0.5
5 6 0.5
5 7 0.5
6 8 0.5
7 8 0.5
7 9 0.5
8 10 0.5
9 10 0.5
9 11 0.5
10 12 0.5
11 12 0.5
11 13 0.5
12 14 0.5
13 14 0.5
13 15 0.5
14 16 0.5
15 16 0.5
15 17 0.5
16 18 0.5
17 18 0.5
17 19 0.5
18 20 0.5
19 20 0.5
19 21 0.5
20 22 0.5
21 22 0.5
21 23 0.5
22 24 0.5
23 24 0.5
23 25 0.5
24 26 0.5
25 26 0.5
25 27 0.5
26 28 0.5
27 28 0.5
27 29 0.5
28 30 0.5
29 30 0.5
29 31 0.5
30 32 0.5
31 32 0.5
31 33 0.5
32 34 0.5
33 34 0.5
33 35 0.5
34 36 0.5
35 36 0.5
35 37 0.5
36 38 0.5
37 38 0.5
37 39 0.5
38 40 0.5
39 40 0.5
