1 2 0.05
1 3 0.05
2 4 0.05
3 4 0.05
3 5 0.05
4 6 0.05
5 6 0.05
5 7 0.05
6 8 0.05
7 8 0.05
7 9 0.05
8 10 0.05
9 10 0.05
9 11 0.05
10 12 0.05
11 12 0.05
11 13 0.05
12 14 0.05
13 14 0.05
13 15 0.05
14 16 0.05
15 16 0.05
15 17 0.05
16 18 0.05
17 18 0.05
17 19 0.05
18 20 0.05
19 20 0.05
19 21 0.05
20 22 0.05
21 22 0.05
21 23 0.05
22 24 0.05
23 24 0.05
23 25 0.05
24 26 0.05
25 26 0.05
25 27 0.05
26 28 0.05
27 28 0.05
27 29 0.05
28 30 0.05
29 30 0.05
29 31 0.05
30 32 0.05
31 32 0.05
31 33 0.05
32 34 0.05
33 34 0.05
33 35 0.05
34 36 0.05
35 36 0.05
35 37 0.05
36 38 0.05
37 38 0.05
37 39 0.05
38 40 0.05
39 40 0.05
