1 2 0.95
1 3 0.95
2 4 0.95
3 4 0.95
3 5 0.95
4 6 0.95
5 6 0.95
5 7 0.95
6 8 0.95
7 8 0.95
7 9 0.95
8 10 0.95
9 10 0.95
9 11 0.95
10 12 0.95
11 12 0.95
11 13 0.95
12 14 0.95
13 14 0.95
13 15 0.95
14 16 0.95
15 16 0.95
15 17 0.95
16 18 0.95
17 18 0.95
17 19 0.95
18 20 0.95
19 20 0.95
19 21 0.95
20 22 0.95
21 22 0.95
21 23 0.95
22 24 0.95
23 24 0.95
23 25 0.95
24 26 0.95
25 26 0.95
25 27 0.95
26 28 0.95
27 28 0.95
27 29 0.95
28 30 0.95
29 30 0.95
29 31 0.95
30 32 0.95
31 32 0.95
31 33 0.95
32 34 0.95
33 34 0.95
33 35 0.95
34 36 0.95
35 36 0.95
35 37 0.95
36 38 0.95
37 38 0.95
37 39 0.95
38 40 0.95
39 40 0.95
